SEP=;
caseID;modality;grid;zone;minRho;maxRho;minTheta;maxTheta;Mean;Stdev;Min;Max;N
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;00; 0,000; 0,374;-180,000;180,000;104,289;23,367;36,616;171,500;3389
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;01; 0,449; 0,860;-10,000;10,000;166,589;16,019;120,109;227,106;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;02; 0,449; 0,860;12,500;32,500;168,306;14,987;129,100;214,676;724
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;03; 0,449; 0,860;35,000;55,000;163,754;13,851;104,845;202,369;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;04; 0,449; 0,860;57,500;77,500;159,112;14,721;113,802;200,306;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;05; 0,449; 0,860;80,000;100,000;153,727;15,699;106,287;198,460;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;06; 0,449; 0,860;102,500;122,500;157,157;12,692;122,285;197,933;724
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;07; 0,449; 0,860;125,000;145,000;148,812;13,045;105,076;193,895;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;08; 0,449; 0,860;147,500;167,500;143,507;16,795;105,949;194,953;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;09; 0,449; 0,860;170,000;190,000;145,936;15,442;105,472;183,990;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;10; 0,449; 0,860;192,500;212,500;142,163;13,489;101,042;192,157;724
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;11; 0,449; 0,860;215,000;235,000;141,025;15,714;100,645;195,200;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;12; 0,449; 0,860;237,500;257,500;143,919;14,051;103,936;180,727;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;13; 0,449; 0,860;260,000;280,000;151,209;16,958;108,648;207,687;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;14; 0,449; 0,860;282,500;302,500;149,753;15,655;103,143;191,044;724
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;15; 0,449; 0,860;305,000;325,000;150,852;15,546;103,203;195,731;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;16; 0,449; 0,860;327,500;347,500;162,312;16,859;105,667;215,173;723
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;17; 0,860; 1,272;-10,000;10,000;185,559;16,098;136,168;240,015;1179
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;18; 0,860; 1,272;12,500;32,500;178,491;17,424;111,401;231,692;1177
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;19; 0,860; 1,272;35,000;55,000;176,371;18,230;122,308;229,062;1178
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;20; 0,860; 1,272;57,500;77,500;176,887;17,252;126,598;225,021;1181
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;21; 0,860; 1,272;80,000;100,000;163,592;22,500;88,733;219,733;1179
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;22; 0,860; 1,272;102,500;122,500;165,352;20,520;107,941;233,564;1177
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;23; 0,860; 1,272;125,000;145,000;166,750;17,891;109,814;214,119;1178
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;24; 0,860; 1,272;147,500;167,500;167,401;16,257;126,821;217,501;1181
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;25; 0,860; 1,272;170,000;190,000;170,632;19,552;124,273;233,047;1179
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;26; 0,860; 1,272;192,500;212,500;173,404;18,386;123,589;227,300;1177
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;27; 0,860; 1,272;215,000;235,000;169,143;15,524;123,866;220,317;1178
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;28; 0,860; 1,272;237,500;257,500;170,064;21,680;109,247;229,967;1181
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;29; 0,860; 1,272;260,000;280,000;173,832;17,459;116,694;229,864;1179
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;30; 0,860; 1,272;282,500;302,500;170,709;24,827;104,262;243,847;1177
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;31; 0,860; 1,272;305,000;325,000;179,952;19,780;123,871;239,723;1178
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;32; 0,860; 1,272;327,500;347,500;181,328;19,105;109,949;239,469;1181
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;33; 1,347; 1,721;-10,000;10,000;210,034;19,930;138,114;264,535;1535
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;34; 1,347; 1,721;12,500;32,500;204,619;22,357;126,040;272,011;1542
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;35; 1,347; 1,721;35,000;55,000;209,948;24,469;127,055;282,604;1544
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;36; 1,347; 1,721;57,500;77,500;208,661;29,024;112,638;294,787;1540
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;37; 1,347; 1,721;80,000;100,000;203,100;27,598;113,069;311,720;1535
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;38; 1,347; 1,721;102,500;122,500;207,827;23,451;119,205;300,383;1542
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;39; 1,347; 1,721;125,000;145,000;208,755;29,333;115,692;306,006;1544
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;40; 1,347; 1,721;147,500;167,500;217,985;25,486;123,482;288,995;1540
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;41; 1,347; 1,721;170,000;190,000;212,130;21,955;122,621;277,300;1535
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;42; 1,347; 1,721;192,500;212,500;216,662;23,273;131,355;280,073;1542
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;43; 1,347; 1,721;215,000;235,000;221,216;21,453;148,073;288,007;1544
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;44; 1,347; 1,721;237,500;257,500;213,882;32,989;103,914;303,828;1540
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;45; 1,347; 1,721;260,000;280,000;209,607;31,069;126,950;310,921;1535
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;46; 1,347; 1,721;282,500;302,500;218,830;30,972;132,109;296,398;1542
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;47; 1,347; 1,721;305,000;325,000;216,774;24,184;139,594;290,637;1544
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;48; 1,347; 1,721;327,500;347,500;213,554;29,451;127,856;281,210;1540
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;49; 1,721; 2,095;-10,000;10,000;232,235;31,098;128,074;315,078;1919
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;50; 1,721; 2,095;12,500;32,500;240,449;21,787;160,911;305,373;1915
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;51; 1,721; 2,095;35,000;55,000;246,658;25,799;148,196;330,854;1913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;52; 1,721; 2,095;57,500;77,500;244,489;35,131;120,178;335,248;1916
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;53; 1,721; 2,095;80,000;100,000;248,282;33,042;156,671;372,600;1919
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;54; 1,721; 2,095;102,500;122,500;217,971;49,809;62,073;306,431;1915
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;55; 1,721; 2,095;125,000;145,000;239,398;34,574;84,294;324,872;1913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;56; 1,721; 2,095;147,500;167,500;242,916;28,344;128,348;329,268;1916
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;57; 1,721; 2,095;170,000;190,000;243,885;22,379;173,895;306,324;1919
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;58; 1,721; 2,095;192,500;212,500;242,090;22,519;149,140;300,127;1915
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;59; 1,721; 2,095;215,000;235,000;220,697;60,856;65,446;324,701;1913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;60; 1,721; 2,095;237,500;257,500;220,581;63,702;57,267;331,361;1916
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;61; 1,721; 2,095;260,000;280,000;224,896;59,903;67,396;321,153;1919
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;62; 1,721; 2,095;282,500;302,500;217,509;63,148;61,908;345,962;1915
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;63; 1,721; 2,095;305,000;325,000;244,834;31,204;131,242;319,666;1913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;64; 1,721; 2,095;327,500;347,500;239,113;39,279;89,566;326,437;1916
