SEP=;
caseID;modality;grid;zone;minRho;maxRho;minTheta;maxTheta;Mean;Stdev;Min;Max;N
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;00; 0,000; 0,374;-180,000;180,000;104,289;23,367;36,616;171,500;3389
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;01; 1,347; 2,095;-20,000;20,000;222,906;30,960;126,040;315,078;6911
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;02; 1,347; 2,095;25,000;65,000;229,569;31,375;127,055;335,248;6913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;03; 1,347; 2,095;70,000;110,000;228,014;36,347;111,068;372,600;6911
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;04; 1,347; 2,095;115,000;155,000;221,420;39,883;62,073;329,268;6913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;05; 1,347; 2,095;160,000;200,000;227,436;29,323;117,422;306,324;6911
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;06; 1,347; 2,095;205,000;245,000;225,326;44,818;65,446;324,701;6913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;07; 1,347; 2,095;250,000;290,000;218,068;50,994;57,267;345,962;6911
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;08; 1,347; 2,095;295,000;335,000;230,036;38,886;61,908;326,437;6913
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;09; 2,169; 2,918;-20,000;20,000;284,643;26,643;170,738;387,885;10212
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;10; 2,169; 2,918;25,000;65,000;269,460;38,595;101,878;375,060;10215
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;11; 2,169; 2,918;70,000;110,000;254,273;59,728;64,588;358,936;10212
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;12; 2,169; 2,918;115,000;155,000;267,025;43,765;75,800;369,153;10215
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;13; 2,169; 2,918;160,000;200,000;254,037;28,241;119,372;331,376;10212
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;14; 2,169; 2,918;205,000;245,000;252,442;52,013;61,678;352,289;10215
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;15; 2,169; 2,918;250,000;290,000;263,837;31,801;75,186;340,229;10212
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;16; 2,169; 2,918;295,000;335,000;283,545;39,022;88,083;365,827;10215
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;17; 2,992; 3,740;-20,000;20,000;289,236;38,096;81,194;386,702;13521
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;18; 2,992; 3,740;25,000;65,000;290,241;25,933;135,002;381,958;13521
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;19; 2,992; 3,740;70,000;110,000;276,090;35,101;57,081;357,691;13521
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;20; 2,992; 3,740;115,000;155,000;263,663;51,824;57,034;375,526;13521
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;21; 2,992; 3,740;160,000;200,000;185,718;52,028;38,837;312,554;13521
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;22; 2,992; 3,740;205,000;245,000;205,720;75,331;23,612;325,354;13521
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;23; 2,992; 3,740;250,000;290,000;250,393;31,422;53,369;336,857;13521
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori;24; 2,992; 3,740;295,000;335,000;287,045;23,877;114,887;362,109;13521
