SEP=;
caseID;modality;grid;zone;minRho;maxRho;minTheta;maxTheta;Mean;Stdev;Min;Max;N
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;00; 2,500; 2,500;180,000;180,000;154,400; 1,200;152,000;155,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;01; 2,000; 2,000;180,000;180,000;143,400; 1,625;141,000;145,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;02; 1,500; 1,500;180,000;180,000;136,400; 0,490;136,000;137,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;03; 1,000; 1,000;180,000;180,000;136,000; 3,406;132,000;141,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;04; 0,500; 0,500;180,000;180,000;133,200; 1,600;132,000;136,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;05; 0,000; 0,000; 0,000; 0,000;145,400; 2,059;143,000;149,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;06; 0,500; 0,500; 0,000; 0,000;167,000; 1,673;164,000;169,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;07; 1,000; 1,000; 0,000; 0,000;154,600; 2,871;149,000;157,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;08; 1,500; 1,500; 0,000; 0,000;155,000; 2,608;153,000;160,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;09; 2,000; 2,000; 0,000; 0,000;169,400; 2,059;167,000;172,000;25
QAF.Normals0055.OCT;Localizer;HorizontalMeridian;10; 2,500; 2,500; 0,000; 0,000;178,400; 3,878;173,000;183,000;25
