Eccentricity;ONL thickness(mm);ONL min;ONL max;ONL mean;ONL stdev;ONL median;ELM Peak Z(mm);ELM Peak I;PR1 Peak Z(mm);PR1 Peak I;PR2 Peak Z(mm);PR2 Peak I;RPE Peak Z(mm);RPE Peak I;ONL I / ONL;ELM Peak I / ONL;PR1 Peak I / ONL;PR2 Peak I / ONL;RPE Peak I / ONL;ONL I / RPE;ELM Peak I / RPE;PR1 Peak I / RPE;PR2 Peak I / RPE;RPE Peak I / RPE
-2,500000;0,035100;53,400000;81,200000;62,622222;9,322110;57,800000;0,811200;81,200000;0,834600;168,000000;0,850200;133,200000;0,881400;203,400000;1,000000;1,404844;2,906574;2,304498;3,519031;0,284169;0,399213;0,825959;0,654867;1,000000
-2,000000;0,027300;48,400000;78,800000;61,914286;12,723817;57,000000;0,756600;78,800000;0,780000;153,800000;0,803400;165,200000;0,826800;200,800000;1,000000;1,382456;2,698246;2,898246;3,522807;0,283865;0,392430;0,765936;0,822709;1,000000
-1,500000;0,035100;48,000000;89,400000;63,533333;16,090301;55,600000;0,721500;89,400000;0,744900;174,400000;0,772200;189,600000;0,791700;213,200000;1,000000;1,607914;3,136691;3,410072;3,834532;0,260788;0,419325;0,818011;0,889306;1,000000
-1,000000;0,031200;50,800000;102,800000;69,800000;20,050187;58,000000;0,690300;102,800000;0,721500;138,200000;0,748800;200,800000;0,768300;204,200000;1,000000;1,772414;2,382759;3,462069;3,520690;0,284035;0,503428;0,676787;0,983350;1,000000
-0,500000;0,066300;62,400000;110,800000;77,882353;13,342380;74,200000;0,655200;110,800000;0,690300;173,600000;0,717600;206,400000;0,737100;214,600000;1,000000;1,493261;2,339623;2,781671;2,892183;0,345760;0,516309;0,808947;0,961789;1,000000
0,000000;0,085800;41,400000;136,800000;66,036364;25,924691;56,400000;0,612300;125,800000;0,643500;158,000000;0,682500;201,600000;0,702000;212,200000;1,000000;2,230496;2,801418;3,574468;3,762411;0,265787;0,592837;0,744581;0,950047;1,000000
0,500000;0,085800;56,800000;118,600000;73,763636;14,264085;68,400000;0,596700;118,600000;0,631800;205,400000;0,655200;223,200000;0,674700;239,000000;1,000000;1,733918;3,002924;3,263158;3,494152;0,286192;0,496234;0,859414;0,933891;1,000000
1,000000;0,074100;55,200000;106,800000;71,094737;15,301237;65,400000;0,569400;106,800000;0,596700;225,200000;0,620100;230,800000;0,639600;215,600000;1,000000;1,633028;3,443425;3,529052;3,296636;0,303340;0,495362;1,044527;1,070501;1,000000
1,500000;0,070200;56,000000;121,600000;77,300000;18,493152;70,200000;0,534300;119,800000;0,557700;214,400000;0,585000;234,200000;0,604500;213,200000;1,000000;1,706553;3,054131;3,336182;3,037037;0,329268;0,561914;1,005629;1,098499;1,000000
2,000000;0,058500;66,000000;97,800000;75,880000;10,054200;74,200000;0,499200;97,800000;0,522600;202,000000;0,549900;211,000000;0,569400;222,000000;1,000000;1,318059;2,722372;2,843666;2,991914;0,334234;0,440541;0,909910;0,950450;1,000000
2,500000;0,046800;78,600000;119,000000;88,833333;13,479078;82,800000;0,471900;119,000000;0,495300;205,000000;0,495300;205,000000;0,495300;205,000000;1,000000;1,437198;2,475845;2,475845;2,475845;0,403902;0,580488;1,000000;1,000000;1,000000
